Date,Number of Drivers,Inventory Level,Depot,Quantity Delivered(m3),Distance from Depot (km),Number of Stations,Discounts,Number of Pickups per Day,Demand
3/31/2023,20,6455913,1,161,65,12,1,14,70.0
3/31/2023,15,6707486,1,54,54,5,2,13,48.75
3/31/2023,13,3377738,1,38,33,17,2,15,48.75
3/31/2023,13,5462295,2,139,17,17,0,9,29.25
3/31/2023,7,6548399,2,130,27,9,0,16,28.000000000000004
3/31/2023,20,7173245,1,75,46,6,0,13,65.0
3/31/2023,11,6782726,1,150,45,5,0,15,41.25
3/31/2023,13,3927674,1,155,11,6,2,12,39.0
3/31/2023,11,5800904,2,92,12,14,1,14,38.5
3/31/2023,18,6403924,1,87,51,10,0,15,67.5
3/31/2023,13,6366823,1,80,48,12,2,9,29.25
3/31/2023,16,7414653,1,125,60,11,1,8,32.0
3/31/2023,8,7074114,2,115,69,4,0,14,28.000000000000004
4/1/2023,5,6238208,1,159,57,9,0,17,21.25
4/1/2023,20,150097,1,162,72,6,2,7,35.0
4/1/2023,19,4755282,1,84,29,17,2,14,66.5
4/1/2023,8,3912614,1,163,61,9,2,9,18.0
4/1/2023,8,5735539,1,161,40,11,0,12,24.0
4/1/2023,14,6516732,2,158,58,15,2,9,31.5
4/1/2023,7,8305940,2,174,66,9,0,17,29.75
4/1/2023,11,8061328,1,51,7,4,2,15,41.25
4/1/2023,14,4121380,1,54,48,13,1,15,52.5
4/1/2023,10,8166743,1,84,50,14,1,10,25.0
4/1/2023,19,5221000,2,186,38,16,2,10,47.5
4/1/2023,15,8449641,1,169,28,10,2,17,63.74999999999999
4/1/2023,12,5416343,2,41,40,9,2,17,50.99999999999999
4/1/2023,11,8017692,1,166,34,15,1,9,24.75
4/1/2023,16,6460754,2,161,48,18,0,11,44.00000000000001
4/1/2023,10,4014382,1,174,48,10,1,9,22.5
4/1/2023,7,7850798,1,167,52,12,1,9,15.75
4/1/2023,18,5956351,1,57,21,8,1,11,49.5
4/1/2023,19,1483391,1,170,54,9,0,17,80.74999999999999
4/1/2023,13,6874320,1,107,17,13,2,9,29.25
4/1/2023,11,4104080,2,119,54,9,2,17,46.75
4/1/2023,15,6808039,2,112,56,6,2,17,63.74999999999999
4/1/2023,17,2459831,2,143,17,5,2,14,59.5
4/1/2023,14,3065055,2,119,62,10,0,12,42.0
4/1/2023,16,7084774,2,64,46,18,2,17,68.0
4/1/2023,16,4588982,1,105,45,13,2,17,68.0
4/1/2023,7,4434391,1,84,23,10,2,13,22.75
4/1/2023,7,5951909,2,60,68,14,2,16,28.000000000000004
4/1/2023,20,4501971,1,159,44,14,1,17,85.0
4/1/2023,17,5042251,1,56,50,4,1,11,46.75
4/1/2023,9,7659836,2,102,7,4,0,17,38.25
4/1/2023,8,4647483,2,167,54,6,1,10,20.0
4/1/2023,11,6671471,1,74,7,8,2,15,41.25
4/2/2023,10,1433065,1,14,75,3,0,7,17.5
4/2/2023,13,3024911,2,84,76,20,1,7,22.75
4/2/2023,12,9451888,2,13,19,16,0,14,42.0
4/2/2023,15,1113347,1,92,48,9,1,7,26.25
4/2/2023,10,8326118,1,75,6,11,2,13,32.5
4/2/2023,7,5812105,1,37,14,10,2,9,15.75
4/2/2023,15,5436930,1,173,36,9,2,10,37.5
4/2/2023,15,7778917,1,154,6,12,0,11,41.25
4/2/2023,19,7653203,2,147,43,10,0,16,76.0
4/2/2023,8,8637869,1,50,53,7,2,16,32.0
4/2/2023,17,5313171,1,147,66,4,0,9,38.25
4/2/2023,16,6644900,1,142,10,12,1,12,48.0
4/2/2023,12,8438824,1,54,39,14,0,15,45.0
4/2/2023,8,7687564,2,43,46,9,2,8,16.0
4/2/2023,19,6484198,2,167,28,18,0,13,61.75000000000001
4/2/2023,19,5515887,2,87,13,13,2,17,80.74999999999999
4/2/2023,18,8638731,2,125,13,6,1,13,58.5
4/2/2023,10,5833847,1,176,30,10,1,14,35.0
4/2/2023,16,4973671,2,192,50,14,0,8,32.0
4/2/2023,12,3840803,2,38,63,13,1,8,24.0
4/2/2023,8,4209991,2,84,66,12,0,16,32.0
4/2/2023,14,6221089,1,118,55,10,2,10,35.0
4/2/2023,8,7107893,1,114,34,14,0,11,22.000000000000004
4/2/2023,16,4947476,2,77,49,18,2,16,64.0
4/2/2023,19,2119460,1,51,8,13,0,13,61.75000000000001
4/2/2023,14,4454585,1,160,24,12,0,8,28.000000000000004
4/2/2023,12,1218439,2,166,14,11,0,11,33.0
4/2/2023,18,4813509,2,162,59,8,0,15,67.5
4/2/2023,20,4308972,1,126,38,6,0,8,40.0
4/2/2023,20,7391261,1,60,35,7,1,16,80.0
4/2/2023,12,5635487,2,70,25,15,0,12,36.0
4/2/2023,12,5563185,2,46,46,18,2,17,50.99999999999999
4/2/2023,19,8170967,1,143,50,11,1,14,66.5
4/2/2023,16,8705242,2,164,5,16,0,13,52.0
4/2/2023,14,9018351,2,51,5,4,0,16,56.00000000000001
4/3/2023,17,8557038,1,109,55,19,2,16,68.0
4/3/2023,6,4592983,1,96,71,0,0,11,16.5
4/3/2023,10,8227664,1,42,66,4,0,12,30.0
4/3/2023,11,4226741,1,87,6,15,2,9,24.75
4/3/2023,12,4748528,1,34,43,15,2,11,33.0
4/3/2023,13,5199197,1,138,51,17,2,11,35.75
4/3/2023,9,6234075,1,173,48,11,0,10,22.5
4/3/2023,16,5185256,1,38,7,14,2,9,36.0
4/3/2023,19,6756027,2,108,50,15,0,16,76.0
4/3/2023,9,4116996,1,44,15,9,0,14,31.5
4/3/2023,8,4773124,1,82,65,5,2,15,30.0
4/3/2023,19,8416352,1,119,12,11,0,13,61.75000000000001
4/3/2023,16,6211064,2,60,44,13,0,17,68.0
4/3/2023,13,6603705,2,74,31,5,2,15,48.75
4/3/2023,16,7653494,2,134,35,4,1,17,68.0
4/3/2023,8,6309338,1,116,44,7,0,13,26.0
4/3/2023,16,8124659,1,179,9,17,2,16,64.0
4/3/2023,17,1414202,2,143,64,14,2,15,63.74999999999999
4/3/2023,11,8157491,1,137,12,12,2,15,41.25
4/3/2023,20,7856866,1,50,54,18,2,8,40.0
4/3/2023,15,8491538,2,66,18,17,1,15,56.25
4/3/2023,14,8520153,1,135,60,6,0,17,59.5
4/3/2023,20,6784446,1,174,67,6,0,13,65.0
4/4/2023,16,7899978,2,115,14,7,2,11,44.00000000000001
4/4/2023,12,5923567,2,57,41,5,2,14,42.0
4/4/2023,11,5610032,1,79,38,5,2,13,35.75
4/4/2023,20,3926593,1,133,62,4,0,16,80.0
4/4/2023,10,5408105,1,56,6,7,2,12,30.0
4/4/2023,10,4378244,2,56,34,16,1,16,40.0
4/4/2023,7,4377903,2,85,52,5,1,17,29.75
4/4/2023,17,7344236,2,68,5,14,1,11,46.75
4/4/2023,13,7231920,2,153,19,8,2,8,26.0
4/4/2023,9,8731757,1,165,32,18,2,15,33.75
4/4/2023,19,4142284,2,83,29,16,2,13,61.75000000000001
4/4/2023,10,4508362,1,44,29,7,2,9,22.5
4/4/2023,13,8683782,1,167,24,14,2,14,45.5
4/4/2023,16,8044656,1,151,10,10,1,15,60.0
4/4/2023,13,8470946,2,96,14,9,2,11,35.75
4/4/2023,16,6355261,1,78,43,11,1,14,56.00000000000001
4/4/2023,20,5240893,1,128,36,14,1,13,65.0
4/4/2023,15,5619823,1,191,19,4,1,12,45.0
4/4/2023,14,3947425,2,41,30,16,2,12,42.0
4/4/2023,19,4638164,1,168,10,12,0,9,42.75000000000001
4/4/2023,10,7509727,1,88,26,12,1,15,37.5
4/4/2023,19,6067178,1,104,51,9,1,14,66.5
4/4/2023,9,1299531,2,78,6,6,2,10,22.5
4/4/2023,12,2289545,1,141,19,10,2,16,48.0
4/4/2023,12,5630250,2,128,70,6,0,14,42.0
4/4/2023,10,7275176,1,132,14,5,0,12,30.0
4/4/2023,12,4855272,1,157,69,6,2,15,45.0
4/4/2023,8,7216542,2,42,4,17,2,8,16.0
4/4/2023,19,4432608,2,173,13,16,2,13,61.75000000000001
4/4/2023,20,9001061,2,40,69,4,0,10,50.0
4/4/2023,10,5158422,1,56,24,14,2,9,22.5
4/5/2023,6,4376010,1,103,7,3,1,13,19.5
4/5/2023,18,5153218,1,162,11,14,1,10,45.0
4/5/2023,15,6278257,1,163,67,4,2,12,45.0
4/5/2023,10,5998323,1,76,37,8,0,9,22.5
4/5/2023,9,6410083,1,151,16,5,0,10,22.5
4/5/2023,10,7466036,1,39,59,18,2,10,25.0
4/5/2023,15,8913220,1,176,39,7,0,8,30.0
4/5/2023,15,8336286,1,169,22,7,0,11,41.25
4/5/2023,9,6528906,1,175,30,11,2,12,27.0
4/5/2023,13,7167995,1,85,27,5,0,12,39.0
4/5/2023,7,8834436,2,189,59,5,0,16,28.000000000000004
4/5/2023,8,7187546,1,120,19,5,2,13,26.0
4/5/2023,9,7955162,2,149,31,17,1,12,27.0
4/5/2023,13,7160133,1,60,12,11,0,8,26.0
4/5/2023,8,5574899,2,181,4,6,2,12,24.0
4/5/2023,20,5958682,2,39,28,12,1,10,50.0
4/5/2023,8,4471669,2,113,24,14,0,17,34.0
4/5/2023,7,4053536,2,174,67,5,2,13,22.75
4/5/2023,20,2790918,1,167,22,14,2,17,85.0
4/5/2023,19,4867978,1,37,53,16,1,13,61.75000000000001
4/5/2023,10,5190092,2,116,38,16,0,14,35.0
4/5/2023,12,5821145,2,122,53,11,1,9,27.0
4/5/2023,19,8466736,2,59,64,13,2,9,42.75000000000001
4/5/2023,18,7496779,2,112,60,6,0,15,67.5
4/5/2023,9,6267933,2,61,46,15,1,17,38.25
4/5/2023,12,4820468,2,176,31,5,0,17,50.99999999999999
4/6/2023,5,4585124,1,113,62,8,2,19,23.75
4/6/2023,12,7109685,1,97,51,2,0,11,33.0
4/6/2023,17,6240631,2,95,67,9,2,15,63.74999999999999
4/6/2023,18,8403787,2,130,40,7,2,10,45.0
4/6/2023,16,4617207,2,166,34,10,2,11,44.00000000000001
4/6/2023,11,4784157,2,189,15,9,1,8,22.000000000000004
4/6/2023,12,4239926,2,165,56,7,0,10,30.0
4/6/2023,19,5047957,2,130,40,12,2,16,76.0
4/6/2023,7,6414455,2,91,11,15,0,9,15.75
4/6/2023,13,4101450,1,91,43,5,2,16,52.0
4/6/2023,19,4653338,2,110,8,16,1,8,38.0
4/6/2023,18,4124258,1,123,9,16,1,16,72.0
4/6/2023,15,9007801,1,134,62,9,2,8,30.0
4/6/2023,19,6955343,2,94,6,12,0,17,80.74999999999999
4/6/2023,14,8038773,2,108,47,14,0,11,38.5
4/6/2023,18,5744118,2,87,18,7,2,11,49.5
4/6/2023,15,5436042,2,43,66,9,0,15,56.25
4/6/2023,8,6275641,2,37,27,4,0,12,24.0
4/6/2023,15,7921071,2,167,58,17,0,16,60.0
4/6/2023,19,3858087,1,58,65,5,0,8,38.0
4/6/2023,7,5215331,1,115,37,7,2,11,19.25
4/6/2023,12,9064448,2,188,70,6,1,11,33.0
4/6/2023,20,7332527,1,187,48,10,0,14,70.0
4/6/2023,11,5625163,2,56,36,16,0,12,33.0
4/6/2023,20,6411924,1,140,42,7,2,17,85.0
4/6/2023,17,1952432,2,61,19,11,1,10,42.5
4/6/2023,10,6116007,1,82,36,17,1,11,27.500000000000004
4/6/2023,17,8002753,1,114,26,9,1,12,50.99999999999999
4/6/2023,19,5985709,2,158,65,18,0,15,71.25
4/6/2023,14,4550880,1,135,41,14,2,17,59.5
4/6/2023,19,6105151,1,137,30,5,1,17,80.74999999999999
4/7/2023,9,3678425,2,141,63,8,1,6,13.5
4/7/2023,20,8010477,1,98,59,8,0,20,100.0
4/7/2023,8,6054665,1,24,28,9,0,5,10.0
4/7/2023,18,6713638,1,168,22,11,1,12,54.0
4/7/2023,13,3543173,2,105,25,16,0,16,52.0
4/7/2023,6,6101182,2,145,52,3,2,18,27.0
4/7/2023,15,8229634,2,59,35,6,2,11,41.25
4/7/2023,20,8699125,1,126,64,16,0,15,75.0
4/7/2023,12,8447941,1,149,15,17,1,11,33.0
4/7/2023,12,4069736,1,174,9,9,0,12,36.0
4/7/2023,19,5029757,1,65,14,13,0,17,80.74999999999999
4/7/2023,10,5239707,1,191,22,5,1,8,20.0
4/7/2023,11,4647098,2,49,65,4,0,9,24.75
4/7/2023,8,4787607,1,44,31,16,2,9,18.0
4/7/2023,20,8730058,2,37,14,12,2,15,75.0
4/7/2023,20,6516397,1,189,15,4,1,15,75.0
4/7/2023,10,8728136,2,39,15,10,2,12,30.0
4/7/2023,20,8005945,2,102,13,7,2,8,40.0
4/7/2023,8,8930485,2,116,24,14,2,11,22.000000000000004
4/7/2023,8,3255185,1,41,17,10,0,9,18.0
4/7/2023,10,8363188,2,49,5,9,0,17,42.5
4/7/2023,12,1569273,1,50,27,15,2,8,24.0
4/7/2023,7,2956263,2,179,6,18,1,16,28.000000000000004
4/7/2023,18,3359026,1,70,69,5,1,12,54.0
4/7/2023,17,4473602,1,36,60,14,0,17,72.25
4/7/2023,16,6909374,1,48,29,7,1,14,56.00000000000001
4/7/2023,16,7646387,2,84,67,4,2,8,32.0
4/7/2023,14,7521430,1,73,69,16,2,16,56.00000000000001
4/7/2023,13,7062616,2,111,18,12,0,8,26.0
4/7/2023,9,7383968,2,165,34,16,0,16,36.0
4/7/2023,8,3711325,1,188,26,6,2,9,18.0
4/8/2023,8,99965,1,149,2,16,0,17,34.0
4/8/2023,20,9866283,1,132,20,1,0,9,45.0
4/8/2023,15,2771383,1,94,30,5,2,5,18.75
4/8/2023,17,6317300,2,61,59,4,0,13,55.25
4/8/2023,9,4122289,2,20,74,12,1,8,18.0
4/8/2023,20,5067989,1,169,63,7,2,10,50.0
4/8/2023,9,8554132,1,170,57,4,0,13,29.25
4/8/2023,16,7631464,1,128,60,13,1,10,40.0
4/8/2023,18,8794904,2,70,64,4,2,10,45.0
4/8/2023,11,4115043,1,107,56,17,2,14,38.5
4/8/2023,7,5595501,1,53,43,10,2,13,22.75
4/8/2023,19,7770852,1,128,62,7,0,15,71.25
4/8/2023,19,6612463,1,135,33,18,0,16,76.0
